sex,LSAT,UGPA,ZFYA,uuid
1,39.0,3.1,-0.98,16011221975076245996
1,36.0,3.0,0.09,16011225926446158316
0,30.0,3.1,-0.35,16011227086087328236
0,39.0,2.2,0.58,16011228804074246636
1,37.0,3.4,-1.26,16011229791916724716
1,30.5,3.6,0.3,16011231381054624236
0,36.0,3.6,-0.1,16011232325947429356
0,37.0,2.7,-0.12,16011244180057166316
1,37.0,2.6,1.53,16011246241641468396
0,31.0,3.6,0.34,16011247014735581676
0,41.0,3.2,1.53,16011248560923808236
0,35.0,3.1,-0.68,16011250837256475116
1,35.0,3.2,-0.17,16011252469344047596
0,35.0,2.9,-0.42,16011254144381293036
0,41.0,2.3,-0.35,16011264752950514156
0,30.5,3.3,0.85,16011265998491029996
1,36.0,3.0,0.04,16011267673528275436
0,40.0,3.9,2.48,16011269305615847916
0,36.0,3.4,0.27,16011279312889647596
0,29.0,2.7,0.88,16011321661267186156
0,37.0,3.2,0.58,16011330294151451116
0,30.0,3.1,1.99,16011331196094583276
0,40.0,3.1,-0.8,16011331883289350636
0,31.0,3.1,0.51,16011332527534445036
1,37.0,3.6,0.81,16011333214729212396
0,29.0,2.8,-1.03,16011333901923979756
0,34.0,2.8,-0.12,16011334632068420076
0,35.0,3.0,-0.61,16011335705810244076
0,40.0,3.4,-0.73,16011336521854030316
0,36.0,2.6,-0.63,16011337166099124716
0,29.0,2.9,-0.02,16011337896243565036
0,35.0,2.5,0.02,16011338583438332396
0,32.0,3.4,0.65,16011339270633099756
1,36.0,2.7,-0.05,16011340043727213036
0,36.0,3.3,0.53,16011340687972307436
0,36.0,2.5,-1.1,16011341375167074796
0,38.0,3.6,1.41,16011342105311515116
0,36.0,3.6,1.18,16011342792506282476
0,32.5,3.2,0.76,16011343479701049836
1,27.0,3.5,-1.05,16011344166895817196
0,36.0,2.4,0.39,16011344854090584556
1,19.0,3.2,-0.7,16011345498335678956
1,34.0,3.7,1.23,16011346185530446316
1,35.0,3.1,1.71,16011346829775540716
1,31.0,3.2,-0.82,16011347431070962156
0,36.0,2.8,-0.17,16011348118265729516
0,32.0,3.0,-0.63,16011348805460496876
1,38.0,3.7,-0.05,16011349449705591276
0,34.0,3.2,0.37,16011352842729755116
0,38.0,2.8,0.44,16011353615823868396
1,36.0,3.4,0.46,16011354303018635756
1,42.0,3.5,-0.42,16011354990213403116
0,29.0,2.3,-0.93,16011355634458497516
0,31.0,3.7,-0.49,16011356278703591916
1,23.0,2.6,0.48,16011356965898359276
0,37.0,3.8,0.72,16011357653093126636
1,33.0,3.3,-1.24,16011358340287893996
0,35.0,3.3,-0.7,16011359070432334316
0,36.0,3.2,0.83,16011359714677428716
0,35.5,2.4,-0.63,16011360530721214956
0,41.0,3.4,-0.05,16011361174966309356
1,34.0,3.5,0.55,16011361862161076716
1,27.0,2.9,-0.77,16011362549355844076
0,29.0,3.3,-0.98,16011363236550611436
1,33.0,3.3,1.27,16011363966695051756
0,32.0,2.9,-0.62,16011364653889819116
0,39.0,2.3,0.51,16011365341084586476
0,23.0,3.7,-0.17,16011366071229026796
1,39.0,3.4,-0.56,16011366758423794156
1,39.0,3.0,-0.42,16011367488568234476
1,32.0,3.8,-0.08,16011368175763001836
